x,y
0.000000,2.746422
0.010000,3.051489
0.020000,2.822406
0.030000,0.928861
0.040000,6.906075
0.050000,2.771305
0.060000,4.103765
0.070000,0.117200
0.080000,4.253681
0.090000,2.137443
0.100000,4.145921
0.110000,4.634536
0.120000,6.486646
0.130000,4.000684
0.140000,6.016851
0.150000,2.957054
0.160000,4.944715
0.170000,4.165283
0.180000,3.968828
0.190000,6.113416
0.200000,1.770304
0.210000,3.101086
0.220000,1.514280
0.230000,3.411142
0.240000,9.968789
0.250000,5.811734
0.260000,1.802236
0.270000,3.921905
0.280000,5.354151
0.290000,6.981266
0.300000,3.880079
0.310000,8.904594
0.320000,5.648373
0.330000,4.754205
0.340000,2.311395
0.350000,3.995844
0.360000,1.464863
0.370000,3.403223
0.380000,6.052812
0.390000,0.738357
0.400000,1.882733
0.410000,2.642295
0.420000,3.853342
0.430000,8.372480
0.440000,2.921085
0.450000,0.962930
0.460000,1.123340
0.470000,2.816037
0.480000,4.889137
0.490000,2.080996
0.500000,1.732487
0.510000,1.494972
0.520000,2.783450
0.530000,2.371613
0.540000,5.357816
0.550000,2.605071
0.560000,2.089543
0.570000,5.698261
0.580000,7.038903
0.590000,3.548057
0.600000,4.189847
0.610000,4.115412
0.620000,3.072638
0.630000,4.090948
0.640000,3.215998
0.650000,4.770290
0.660000,4.564845
0.670000,5.159315
0.680000,2.284250
0.690000,5.730067
0.700000,4.523173
0.710000,4.820461
0.720000,4.927059
0.730000,4.590868
0.740000,5.660932
0.750000,8.011579
0.760000,2.501924
0.770000,4.669563
0.780000,3.549421
0.790000,3.763372
0.800000,7.191947
0.810000,5.390450
0.820000,4.914990
0.830000,3.060159
0.840000,4.224148
0.850000,4.997425
0.860000,7.547525
0.870000,2.325674
0.880000,5.995167
0.890000,7.733171
0.900000,4.249805
0.910000,1.034909
0.920000,3.242022
0.930000,1.900578
0.940000,7.245143
0.950000,3.457920
0.960000,7.639952
0.970000,7.057694
0.980000,4.291331
0.990000,5.923375
1.000000,3.803687
1.010000,2.975614
1.020000,6.690973
1.030000,3.870449
1.040000,6.439960
1.050000,4.140378
1.060000,5.038122
1.070000,5.940734
1.080000,7.573867
1.090000,8.055013
1.100000,8.229399
1.110000,3.215247
1.120000,7.243167
1.130000,5.158487
1.140000,5.025534
1.150000,5.356910
1.160000,6.834288
1.170000,4.228673
1.180000,6.212376
1.190000,8.251963
1.200000,3.332215
1.210000,6.070225
1.220000,5.336600
1.230000,7.762873
1.240000,3.790398
1.250000,4.814987
1.260000,4.271321
1.270000,5.778634
1.280000,4.969268
1.290000,3.674609
1.300000,4.025437
1.310000,8.038614
1.320000,3.594529
1.330000,3.145185
1.340000,4.386692
1.350000,4.633173
1.360000,3.186260
1.370000,7.303721
1.380000,7.289379
1.390000,5.978521
1.400000,6.019045
1.410000,3.732650
1.420000,5.292466
1.430000,5.059082
1.440000,4.061711
1.450000,6.858765
1.460000,6.657663
1.470000,3.290482
1.480000,7.716378
1.490000,7.696647
1.500000,4.120720
1.510000,9.510573
1.520000,7.498098
1.530000,6.755827
1.540000,9.901195
1.550000,7.042564
1.560000,5.004807
1.570000,5.243112
1.580000,8.796318
1.590000,8.082117
1.600000,7.599070
1.610000,2.724936
1.620000,5.692624
1.630000,10.012294
1.640000,6.833556
1.650000,6.419722
1.660000,3.619933
1.670000,4.626967
1.680000,5.461897
1.690000,7.977850
1.700000,8.992114
1.710000,9.252025
1.720000,9.684400
1.730000,4.555274
1.740000,6.971185
1.750000,6.941086
1.760000,4.301521
1.770000,3.575976
1.780000,6.831868
1.790000,6.997844
1.800000,8.510335
1.810000,6.985615
