x,y
-1.301055,-1.655316
-0.376645,0.646194
-0.736488,0.346637
-1.493470,0.714415
1.743119,1.300176
-1.076425,0.548573
-2.253033,0.227470
0.417832,-0.567750
-0.563038,-0.392980
0.336505,0.166160
-0.710708,0.837560
1.804587,-2.267791
1.692253,0.085131
0.427102,-0.078776
1.294378,1.043643
-0.271406,-1.114405
-1.495141,-1.513698
1.126684,2.211065
-0.413709,1.273507
-0.299968,-0.003742
-0.696936,0.281080
0.189665,-0.340045
1.497705,0.582106
-0.758567,0.435921
0.898551,-0.189195
-0.549914,-0.197917
0.550111,-0.682469
1.162826,-0.649076
-0.801151,-1.547748
-0.474212,0.090504
0.043935,-0.699908
0.127562,1.841528
-0.683123,-0.375454
-0.730110,0.009243
-0.088564,-0.497818
-0.209307,1.136288
0.787737,0.952160
-1.472895,0.000136
-0.612697,0.889604
0.023088,-1.233823
0.273024,0.366002
-0.500018,-0.857496
0.546603,1.200414
-0.771574,-1.249917
-3.282131,0.520135
0.514143,1.208783
-2.323811,-0.190013
0.359676,-0.635436
3.003041,-0.038295
-0.291720,0.335159
-0.838004,0.460781
-0.095415,0.030349
-0.421582,-0.990911
-0.311370,0.059425
0.181831,-1.371555
-1.121108,-1.320713
0.623134,1.490965
-0.559246,-1.438297
-0.499829,-0.635927
-0.216984,-1.426707
1.440569,1.477168
-0.417684,-0.098846
0.926898,0.182853
1.411615,0.035484
-0.432643,2.625593
0.807427,0.071207
2.249220,1.007034
0.615790,-0.158225
0.089603,-0.747898
0.839528,0.989185
1.109334,0.041839
0.757984,-1.880668
-1.002708,0.456635
-0.059869,0.558627
0.347766,1.255517
-0.113183,-0.035197
-0.038058,0.865675
-0.958260,-2.002984
0.331039,-0.884866
0.864896,0.120318
0.040348,-1.289647
-2.563743,0.275122
0.379378,-0.495651
1.147614,-0.557990
0.033814,0.222469
0.885693,-0.979845
-0.992591,-0.295041
1.812884,1.930432
0.158198,-0.139516
-0.634105,0.419456
-0.064202,-1.272690
1.044993,1.126856
-0.054664,-1.444043
0.646459,-0.032641
0.256198,-0.372060
-1.534343,2.486602
-0.251624,0.175694
0.105949,-0.619063
-0.738798,-0.667871
-2.068033,-1.205258
-1.787635,0.271792
0.236291,-1.239654
0.698516,-1.216172
-0.985332,1.303965
0.811672,0.061313
-2.083222,-0.196722
0.277854,-2.095865
-0.061188,0.016126
0.193474,-0.497996
0.087057,-0.656675
1.497141,2.723086
1.209118,-0.294532
-0.217201,1.032745
0.907331,1.992622
-1.660317,0.000154
-1.953767,0.675970
-0.200038,-0.092575
-1.019351,1.384826
-1.347874,0.076425
-2.366498,0.405577
-0.555332,-0.070100
1.427152,-0.347644
-0.493508,0.799794
-0.716190,-0.044991
1.763310,-0.843697
-0.955128,-0.047960
1.778777,1.208810
-0.294787,-0.552386
-0.074623,0.789844
1.766178,-0.200932
-0.328157,0.654272
1.080617,0.724475
1.674518,0.094790
0.673634,-0.004357
0.157925,0.543505
-0.162382,-0.600668
0.412590,0.687704
-0.518071,-2.713858
0.333968,-1.123742
1.714149,0.032314
0.170056,0.783740
0.519611,1.035749
-0.607168,-1.402595
-1.403624,1.117460
-1.285256,0.861844
1.278316,0.572335
0.744047,-2.109139
-0.537376,1.022833
-0.697544,1.762092
0.875967,0.099491
-0.534165,-0.010020
0.751180,-0.275934
-0.005779,-0.899943
0.435991,0.793006
0.008810,0.466177
1.120068,-0.184830
1.209380,0.278310
1.368711,1.385955
-1.344687,1.851056
-0.809790,0.809903
0.053116,2.109129
0.249378,0.629791
-0.481098,1.261408
-1.045454,-0.475868
0.082188,0.228260
0.380016,0.959713
-1.246264,-2.106725
-0.399928,-1.960872
0.402266,-1.265686
-0.878381,-1.443149
0.136042,-1.350592
0.218842,0.924164
1.242362,1.482613
0.118506,0.851579
0.146375,0.570001
0.287996,-0.095636
-0.000091,-0.652983
0.482022,1.927231
1.331854,0.067001
-0.071026,-0.703167
-0.721570,0.808277
-0.312657,-0.245626
1.289577,0.501214
0.262740,-0.845040
1.529388,-0.879072
0.622360,-0.155751
0.846068,-2.447240
0.698267,1.731578
0.228138,-0.255600
0.153559,-0.708342
-0.203694,-1.284954
0.180831,2.207740
0.096446,0.608769
-0.564090,-0.357896
-0.906034,-0.497970
0.942409,1.168712
-1.253210,-0.922381
-0.315858,-0.693497
0.501718,-2.931549
-0.538660,-0.274389
-0.515425,-0.681839
-0.146861,-1.105417
1.162931,0.494577
-0.051053,-1.617424
-1.238563,0.998829
-0.121637,-0.486139
2.029707,-0.414066
-0.441587,1.485359
0.887292,0.653187
1.150455,1.240579
2.248025,-1.329993
-0.793888,1.402251
-0.808234,0.818569
1.039475,-0.964228
0.369305,1.112629
0.409701,1.184344
-1.011495,1.488575
1.600052,0.010053
1.081679,-0.786162
-0.272941,-0.715236
1.556669,-0.196940
0.051670,-0.747934
-0.273695,0.178585
1.353389,-1.965442
-0.323146,-0.438835
0.170434,-0.132248
-0.853899,-0.645181
-0.954113,0.427287
1.406011,-0.496515
0.749766,-1.324604
0.148040,-1.173207
-0.462526,-1.309955
2.070696,0.143340
0.608214,-0.593309
0.120399,-0.414643
0.115646,0.388866
1.994105,0.367415
-1.363283,0.662696
-0.185473,-1.273281
-0.487534,1.533481
-1.110641,-0.850181
1.685237,-0.655353
1.247124,1.262836
1.069174,-0.907670
-0.871462,-2.121964
-2.075726,-0.976495
